[2024-11-04T12:43:57.331+0000] {logging_mixin.py:151} INFO - Error: El usuario , no tiene suficientes elementos
[2024-11-04T12:43:57.331+0000] {logging_mixin.py:151} INFO - Error: El usuario   no tiene suficientes elementos
[2024-11-04T12:43:57.331+0000] {logging_mixin.py:151} INFO - Error: El usuario 2 no tiene suficientes elementos
[2024-11-04T12:43:57.331+0000] {logging_mixin.py:151} INFO - Error: El usuario 8 no tiene suficientes elementos
[2024-11-04T12:43:57.331+0000] {logging_mixin.py:151} INFO - Error: El usuario ] no tiene suficientes elementos
[2024-11-04T12:43:57.331+0000] {logging_mixin.py:151} INFO - Error: El usuario ] no tiene suficientes elementos
[2024-11-04T12:43:57.331+0000] {python.py:194} INFO - Done. Returned value was: []
[2024-11-04T12:43:57.349+0000] {taskinstance.py:1398} INFO - Marking task as SUCCESS. dag_id=user_pipeline, task_id=transform_users, execution_date=20241104T124355, start_date=20241104T124357, end_date=20241104T124357
[2024-11-04T12:43:57.392+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2024-11-04T12:43:57.406+0000] {taskinstance.py:2776} INFO - 1 downstream tasks scheduled from follow-on schedule check
